"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","Gene"
"12166",0,1,1,1,0,0,0,0,0,0,"Ttc27"
"12167",1,1,1,1,0,1,1,0,3,1,"Ttc28"
"12168",14,2,8,15,2,8,11,1,2,10,"Ttc3"
"12169",1,0,1,1,1,0,0,0,0,1,"Ttc30b"
"12170",1,0,0,0,0,1,0,0,1,0,"Ttc32"
"12171",0,0,1,2,1,1,3,1,1,4,"Ttc33"
"12172",6,4,4,2,0,8,5,5,9,1,"Ttc35"
"12173",0,0,1,1,2,0,1,1,0,0,"Ttc37"
"12174",0,3,0,0,0,1,0,0,0,0,"Ttc38"
"12175",0,0,0,0,0,0,3,0,0,7,"Ttc39b"
"12176",0,5,1,2,1,0,1,0,0,1,"Ttc39c"
"12177",4,0,2,2,5,1,2,4,2,3,"Ttc4"
"12178",1,2,1,1,2,3,2,1,4,4,"Ttc5"
"12179",1,0,0,0,1,1,0,1,1,0,"Ttc7"
"12180",3,10,3,0,2,1,2,3,3,1,"Ttc7b"
"12181",0,0,0,0,1,1,1,0,0,2,"Ttc8"
"12182",1,2,0,5,3,4,2,1,2,1,"Ttc9"
"12183",12,8,2,3,9,10,4,1,6,5,"Ttc9b"
"12184",0,1,1,1,0,0,0,0,0,1,"Ttc9c"
"12185",1,0,0,0,0,1,0,0,0,0,"Ttf1"
"12186",0,0,0,1,0,0,0,1,0,0,"Ttf2"
"12187",2,0,2,0,3,1,1,0,0,0,"Tti1"
"12188",0,1,0,0,0,0,0,0,0,0,"Ttk"
"12189",2,2,1,2,1,0,4,1,0,0,"Ttl"
"12190",2,1,0,0,1,1,0,0,1,1,"Ttll1"
"12191",1,0,0,0,0,0,0,0,0,0,"Ttll11"
"12192",3,0,1,1,6,0,3,0,1,0,"Ttll12"
"12193",1,0,0,3,0,1,1,0,0,0,"Ttll3"
"12194",0,1,2,0,0,0,0,0,2,1,"Ttll4"
"12195",0,1,0,0,2,1,0,0,1,1,"Ttll5"
"12196",1,1,5,2,2,0,0,3,3,5,"Ttll7"
"12197",0,0,0,0,0,0,0,0,0,0,"Ttll8"
"12198",1,1,0,1,1,0,0,0,1,0,"Ttpa"
"12199",0,2,0,1,3,1,1,0,1,0,"Ttpal"
"12200",0,1,0,0,0,1,0,1,3,1,"Ttr"
"12201",31,23,25,22,22,19,22,12,28,25,"Ttyh1"
"12202",17,4,12,10,9,12,0,1,5,3,"Ttyh2"
"12203",15,17,7,11,18,13,5,8,33,24,"Ttyh3"
"12204",5,5,10,2,3,1,6,3,2,4,"Tub"
"12205",322,188,201,222,258,186,95,341,156,255,"Tuba1a"
"12206",25,25,23,22,24,78,35,37,38,26,"Tuba1b"
"12207",11,12,16,14,18,18,17,16,9,5,"Tuba1c"
"12208",12,5,6,2,5,13,1,6,3,3,"Tuba4a"
